交路编号,编号,车次,出发时刻,到达时刻,出发车站,到达车站
1,114,G7232/3,495,725,上海,六安
1,236,G7198/5/2,793,1032,六安,上海
2,310,G9232/3,385,597,上海,铜陵
2,311,G9234/1,615,800,铜陵,上海
3,253,G9311,1128,1266,上海,衢州
3,317,G9312/2,1286,1407,衢州,上海
4,1,G7001,420,520,南京,上海
4,38,G7038,545,668,上海,南京
5,207,G7543,427,665,上海,温州南
5,208,G7546,680,930,温州南,上海
6,207,G7543,427,665,上海,温州南
6,171,G7334,690,908,温州南,上海
7,73,G7045,569,696,南京,上海
7,74,G7046,740,852,上海,南京
8,35,G7103,439,565,南京,上海
8,44,G7044,646,764,上海,南京
9,268,D5512/3,555,698,南京,南通
9,269,D5524/1,714,862,南通,南京
10,141,G7164/5,787,965,上海,合肥
10,164,G7250/47,997,1190,合肥,上海
11,249,G7503,484,666,上海,台州
11,250,G7542,712,916,台州,上海
12,211,DJ7731,291,445,杭州,温州南
12,212,G7568,480,637,温州南,杭州
13,114,G7232/3,495,725,上海,六安
13,193,G7198/5,793,1032,六安,上海
14,324,G9501,490,599,合肥,安庆
14,305,D5656,676,781,安庆,合肥
15,240,G7427,1083,1193,合肥,安庆
15,295,D5666,1249,1348,安庆,合肥
16,12,G7023,1080,1179,南京,上海
16,206,G7126,1230,1353,上海,南京
17,49,G7037,400,538,南京,上海
17,18,G7008,600,699,上海,南京
18,320,G9402/3,831,1027,上海,合肥
18,321,G9404/1,1066,1236,合肥,上海
19,127,G7088/9,774,1014,上海,安庆
19,128,G7090/87,1034,1268,安庆,上海
20,32,G7059,905,1019,南京,上海
20,26,G7024,1080,1185,上海,南京
21,276,D5526/7,842,1005,南京,南通
21,277,D5538/5,1055,1210,南通,南京
22,257,G7519,952,1075,上海,宁波
22,258,G7524,1094,1217,宁波,上海
23,109,G7119,983,1105,南京,上海
23,27,G7026,1140,1240,上海,南京
24,63,G7121,1015,1137,南京,上海
24,78,G7062,1172,1293,上海,南京
25,56,G7052,939,1064,上海,南京
25,231,G7397/6,1094,1284,南京,上海
26,29,G7034,414,559,上海,南京
26,80,G7109,595,720,南京,上海
27,298,D5603,715,841,南京,安庆
27,299,D5606,860,992,安庆,南京
28,89,G7115,810,932,南京,上海
28,11,G7022,1020,1121,上海,南京
29,131,G7092/3,828,1073,上海,安庆
29,132,G7094/1,1128,1368,安庆,上海
30,185,G7354,604,756,杭州,常州
30,186,G7353,771,914,常州,杭州
31,116,G7043,491,618,南京,上海
31,19,G7010,660,759,上海,南京
32,296,D5653,438,544,合肥,安庆
32,325,G9502,622,725,安庆,合肥
33,143,G7258/5,461,657,合肥,上海
33,52,G7244/5,713,886,上海,合肥
34,96,G7148/9,815,982,上海,芜湖
34,97,G7288/5,1017,1207,芜湖,上海
35,118,G7238/5,840,1031,合肥,上海
35,119,G7256/7,1053,1242,上海,合肥
36,79,G7102,440,565,上海,南京
36,30,G7047,609,727,南京,上海
37,121,G7240/1,654,883,上海,六安
37,122,G7242/39,925,1151,六安,上海
38,90,G7116,974,1095,上海,南京
38,134,G7099,1125,1257,南京,上海
39,157,G7345,780,942,杭州,苍南
39,262,G7538,1004,1223,苍南,杭州
40,300,D5607,1010,1136,南京,安庆
40,301,D5610,1156,1270,安庆,南京
41,270,D5532/3,949,1110,南京,南通
41,271,D5544/1,1168,1320,南通,南京
42,316,G9311/2,1128,1266,上海,衢州
42,254,G9312,1286,1407,衢州,上海
43,166,DJ7699,310,378,南京,上海
43,230,G7395/8,447,660,上海,南京
44,312,G9236/7,864,1080,上海,池州
44,313,G9238/5,1110,1345,池州,上海
45,155,G7656/7,934,1108,杭州,合肥
45,151,G7658/5,1128,1302,合肥,杭州
46,37,G7035,391,515,南京,上海
46,66,G7104,534,650,上海,南京
47,169,G7649,927,1105,南京,衢州
47,170,G7650,1128,1310,衢州,南京
48,342,D9522/3,600,774,南京,南通
48,343,D9524/1,853,1014,南通,南京
49,114,G7232/3,495,725,上海,六安
49,115,G7234/1,744,970,六安,上海
50,204,G7325,510,753,上海,温州南
50,205,G7326,783,985,温州南,上海
51,40,G7276/7/6,852,1079,上海,淮南东
51,41,G7275/8/5,1128,1318,淮南东,上海
52,251,G7541,361,550,上海,台州
52,252,G7508,565,747,台州,上海
53,344,D9526/7,1037,1186,南京,南通
53,345,D9528/5,1209,1357,南通,南京
54,138,G7132/3,581,813,上海,安庆
54,139,G7146/3,832,1073,安庆,上海
55,72,G7032,353,474,上海,南京
55,87,G7105,518,644,南京,上海
56,314,G9246/7,921,1163,上海,安庆
56,315,G9248/5,1182,1404,安庆,上海
57,52,G7244/5,713,886,上海,合肥
57,53,G7246/3,918,1111,合肥,上海
58,129,G7080/1,464,712,上海,安庆
58,130,G7138/5,743,982,安庆,上海
59,227,G7558,426,492,杭州,上海
59,177,G7351,578,667,上海,杭州
60,322,G9408/5,913,1064,合肥,上海
60,140,G7156/7,1106,1330,上海,合肥
61,120,G7228/5,480,612,合肥,上海
61,144,G7264/5,677,852,上海,合肥
62,100,G7252/3,944,1077,上海,合肥
62,101,G7254/1,1103,1288,合肥,上海
63,82,G7063,975,1100,南京,上海
63,64,G7124,1169,1288,上海,南京
64,94,G7120,1089,1209,上海,南京
64,71,G7069,1241,1360,南京,上海
65,145,G7266/3,872,1046,合肥,上海
65,323,G9406/7,1089,1276,上海,合肥
66,47,G7097,1120,1244,南京,上海
66,48,G7098,1265,1378,上海,南京
67,136,G7218/9,929,1073,上海,芜湖
67,105,G7220/17,1158,1324,芜湖,上海
68,124,G7072/3,348,611,上海,安庆
68,125,G7134/1,632,870,安庆,上海
69,264,D5502/3,420,573,南京,南通
69,275,D5518/5,655,807,南通,南京
70,118,G7238/5,840,1031,合肥,上海
70,237,G7196/7/2,1074,1225,上海,合肥
71,118,G7238/5,840,1031,合肥,上海
71,194,G7196/7,1074,1225,上海,合肥
72,65,G7101,371,500,南京,上海
72,3,G7006,540,639,上海,南京
73,91,G7123,1114,1230,南京,上海
73,58,G7030,1260,1379,上海,南京
74,264,D5502/3,420,573,南京,南通
74,265,D5514/1,600,764,南通,南京
75,57,G7065,1092,1220,南京,上海
75,165,G7070,1240,1360,上海,南京
76,85,G7117,882,1004,南京,上海
76,33,G7056,1046,1165,上海,南京
77,248,G7465,1029,1172,杭州,温州南
77,245,G7466,1233,1370,温州南,杭州
78,246,G7467,578,766,杭州,苍南
78,247,G7468,787,983,苍南,杭州
79,238,G7419,990,1111,合肥,黄山北
79,239,G7420,1140,1248,黄山北,合肥
80,92,G7084/5,517,758,上海,安庆
80,93,G7142/39,796,1038,安庆,上海
81,266,D5522/3,800,952,南京,南通
81,267,D5534/1,972,1121,南通,南京
82,217,G7341,360,549,杭州,苍南
82,172,G7624,593,769,苍南,杭州
83,163,G7248/9,794,979,上海,合肥
83,142,G7166/3,1038,1225,合肥,上海
84,255,G7509,658,773,上海,宁波
84,256,G7514,794,920,宁波,上海
85,280,D5536/7,1093,1241,南京,南通
85,281,D5548/5,1261,1408,南通,南京
86,24,G7019,960,1060,南京,上海
86,70,G7058,1093,1220,上海,南京
87,223,G7507,496,728,南京,宁波
87,148,G7608,778,947,宁波,南京
88,244,G7463,1069,1217,杭州,温州南
88,245,G7466,1233,1370,温州南,杭州
89,221,G7566/3,826,1086,合肥,杭州
89,150,G7652/3,1121,1271,杭州,合肥
90,126,G7140/1,904,1150,上海,安庆
90,315,G9248/5,1182,1404,安庆,上海
91,190,G7501,410,687,上海,苍南
91,156,G7322,728,944,苍南,上海
92,24,G7019,960,1060,南京,上海
92,229,G7391/4,1098,1304,上海,南京
93,168,G7609,833,980,南京,宁波
93,112,G7584,1013,1281,宁波,南京
94,334,D9513,745,782,南京,芜湖
94,335,D9514,805,848,芜湖,南京
94,75,G7057,867,988,南京,上海
94,86,G7118,1038,1159,上海,南京
95,332,D9511,620,663,南京,芜湖
95,333,D9512,683,726,芜湖,南京
95,278,D5516/7,773,912,南京,南通
95,279,D5528/5,936,1073,南通,南京
96,330,D9509,495,541,南京,芜湖
96,331,D9510,562,599,芜湖,南京
96,5,G7009,660,759,南京,上海
96,68,G7112,793,916,上海,南京
97,326,G9503,747,851,合肥,安庆
97,327,G9504,871,973,安庆,合肥
97,328,G9505,1005,1118,合肥,安庆
97,329,G9506,1138,1233,安庆,合肥
98,306,D5659,803,908,合肥,安庆
98,307,D5660,936,1041,安庆,合肥
98,286,D5662,1082,1187,合肥,安庆
98,287,D5665,1225,1331,安庆,合肥
99,302,DJ8697,300,390,南京,安庆
99,303,D5652,411,522,安庆,合肥
99,304,D5655,542,647,合肥,安庆
99,292,D5604,688,808,安庆,南京
100,296,D5653,438,544,合肥,安庆
100,297,D5602,577,697,安庆,南京
100,298,D5603,715,841,南京,安庆
100,327,G9504,871,973,安庆,合肥
101,293,D5605,828,954,南京,安庆
101,294,D5608,974,1094,安庆,南京
101,158,G7603,1130,1218,南京,杭州
101,263,G7612,1282,1363,杭州,南京
102,289,D5641,420,463,南京,芜湖
102,83,G7150/47,498,664,芜湖,上海
102,84,G7108,700,824,上海,南京
103,288,DJ8698,312,402,合肥,南京
103,59,G7039,434,554,南京,上海
103,117,G7236/7,640,819,上海,合肥
104,282,D5651,411,517,合肥,安庆
104,283,D5654,537,648,安庆,合肥
104,284,D5657,680,785,合肥,安庆
104,285,D5658,811,916,安庆,合肥
105,272,D5562/3,331,380,南京,扬州
105,273,D5564/1,405,457,扬州,南京
105,274,D5506/7,480,635,南京,南通
105,269,D5524/1,714,862,南通,南京
106,242,G7461,664,884,上海,温州南
106,243,G7464,904,1047,温州南,杭州
106,210,G7312,1080,1140,杭州,上海
107,234,G7417/2,785,893,合肥,黄山北
107,235,G7418/2,933,1034,黄山北,合肥
107,308,D5663,1064,1175,合肥,安庆
107,241,G7428,1219,1315,安庆,合肥
108,232,G7413,470,571,合肥,黄山北
108,233,G7414,593,701,黄山北,合肥
108,326,G9503,747,851,合肥,安庆
108,327,G9504,871,973,安庆,合肥
109,228,G7393/2,454,661,南京,上海
109,146,G7282/3,693,854,上海,芜湖
109,337,D9516,925,962,芜湖,南京
110,223,G7507,496,728,南京,宁波
110,224,G7512,748,872,宁波,上海
110,133,G7100,885,1011,上海,南京
111,222,DJ7698,306,374,上海,南京
111,289,D5641,420,463,南京,芜湖
111,290,D5642,482,525,芜湖,南京
111,17,G7005,540,639,南京,上海
112,218,DJ7725,287,333,上海,杭州
112,219,G7361,350,444,杭州,江山
112,220,G7364,459,636,江山,上海
113,218,DJ7725,287,333,上海,杭州
113,202,G7327,381,406,杭州,诸暨
113,203,G7328,423,448,诸暨,杭州
113,196,G7302,478,543,杭州,上海
113,50,G7202,557,610,上海,无锡
113,51,G7201,630,691,无锡,上海
114,218,DJ7725,287,333,上海,杭州
114,184,G7358,370,456,杭州,上海
114,259,G7549,490,622,上海,宁波
114,174,G7510,684,807,宁波,上海
115,218,DJ7725,287,333,上海,杭州
115,261,G7556,408,483,杭州,上海
115,42,G7206,505,546,上海,苏州
115,43,G7205,564,603,苏州,上海
116,213,G7379,667,779,杭州,丽水
116,214,G7380,799,916,丽水,杭州
116,187,G7360,937,1041,杭州,上海
116,188,G7359,1074,1171,上海,杭州
117,198,G7317/20,694,837,上海,宜兴
117,199,G7319/8,863,1019,宜兴,上海
117,76,G7208,1041,1075,上海,苏州
117,77,G7207,1106,1147,苏州,上海
118,197,G7180,615,698,上海,南京
118,61,G7051,729,853,南京,上海
118,62,G7050,870,990,上海,南京
118,25,G7021,1020,1121,南京,上海
119,195,G7301,395,460,上海,杭州
119,196,G7302,478,543,杭州,上海
119,60,G7040,594,712,上海,南京
119,135,G7229,779,902,南京,上海
120,191,G7417,785,893,合肥,黄山北
120,192,G7418,933,1034,黄山北,合肥
120,308,D5663,1064,1175,合肥,安庆
120,309,D5664,1195,1300,安庆,合肥
121,180,G7308,892,951,杭州,上海
121,181,G7365,967,1105,上海,江山
121,182,G7366,1126,1270,江山,上海
121,183,G7315,1290,1348,上海,杭州
122,179,G7305,810,876,上海,杭州
122,215,G7567,937,1093,杭州,温州南
122,216,G7340,1114,1324,温州南,上海
123,178,G7304,690,759,杭州,上海
123,179,G7305,810,876,上海,杭州
123,180,G7308,892,951,杭州,上海
123,46,G7054,980,1100,上海,南京
