交路编号,编号,车次,出发时刻,到达时刻,出发车站,到达车站
55,140,G7156/7,1106,1330,上海,合肥
56,118,G7238/5,840,1031,合肥,上海
56,194,G7196/7,1074,1225,上海,合肥
57,312,G9236/7,864,1080,上海,池州
57,313,G9238/5,1110,1345,池州,上海
58,190,G7501,410,687,上海,苍南
58,156,G7322,728,944,苍南,上海
59,228,G7393/2,454,661,南京,上海
59,84,G7108,700,824,上海,南京
60,253,G9311,1128,1266,上海,衢州
60,254,G9312,1286,1407,衢州,上海
61,24,G7019,960,1060,南京,上海
61,229,G7391/4,1098,1304,上海,南京
62,185,G7354,604,756,杭州,常州
62,186,G7353,771,914,常州,杭州
63,296,D5653,438,544,合肥,安庆
63,325,G9502,622,725,安庆,合肥
64,37,G7035,391,515,南京,上海
64,38,G7038,545,668,上海,南京
65,96,G7148/9,815,982,上海,芜湖
65,97,G7288/5,1017,1207,芜湖,上海
66,270,D5532/3,949,1110,南京,南通
66,271,D5544/1,1168,1320,南通,南京
67,120,G7228/5,480,612,合肥,上海
67,117,G7236/7,640,819,上海,合肥
68,141,G7164/5,787,965,上海,合肥
68,164,G7250/47,997,1190,合肥,上海
69,108,G7114,847,967,上海,南京
69,109,G7119,983,1105,南京,上海
70,40,G7276/7/6,852,1079,上海,淮南东
70,41,G7275/8/5,1128,1318,淮南东,上海
71,248,G7465,1029,1172,杭州,温州南
71,245,G7466,1233,1370,温州南,杭州
72,79,G7102,440,565,上海,南京
72,80,G7109,595,720,南京,上海
73,114,G7232/3,495,725,上海,六安
73,193,G7198/5,793,1032,六安,上海
74,204,G7325,510,753,上海,温州南
74,205,G7326,783,985,温州南,上海
75,221,G7566/3,826,1086,合肥,杭州
75,150,G7652/3,1121,1271,杭州,合肥
76,52,G7244/5,713,886,上海,合肥
76,53,G7246/3,918,1111,合肥,上海
77,143,G7258/5,461,657,合肥,上海
77,144,G7264/5,677,852,上海,合肥
78,168,G7609,833,980,南京,宁波
78,112,G7584,1013,1281,宁波,南京
79,63,G7121,1015,1137,南京,上海
79,78,G7062,1172,1293,上海,南京
80,59,G7039,434,554,南京,上海
80,60,G7040,594,712,上海,南京
81,12,G7023,1080,1179,南京,上海
81,111,G7066,1208,1329,上海,南京
82,138,G7132/3,581,813,上海,安庆
82,139,G7146/3,832,1073,安庆,上海
83,146,G7282/3,693,854,上海,芜湖
83,147,G7284/1,938,1083,芜湖,上海
84,314,G9246/7,921,1163,上海,安庆
84,315,G9248/5,1182,1404,安庆,上海
85,24,G7019,960,1060,南京,上海
85,70,G7058,1093,1220,上海,南京
86,136,G7218/9,929,1073,上海,芜湖
86,105,G7220/17,1158,1324,芜湖,上海
87,264,D5502/3,420,573,南京,南通
87,265,D5514/1,600,764,南通,南京
88,244,G7463,1069,1217,杭州,温州南
88,245,G7466,1233,1370,温州南,杭州
89,124,G7072/3,348,611,上海,安庆
89,125,G7134/1,632,870,安庆,上海
90,131,G7092/3,828,1073,上海,安庆
90,132,G7094/1,1128,1368,安庆,上海
91,334,D9513,745,782,南京,芜湖
91,335,D9514,805,848,芜湖,南京
91,336,D9515,868,905,南京,芜湖
91,337,D9516,925,962,芜湖,南京
91,338,D9517,995,1038,南京,芜湖
91,137,D5644,1095,1132,芜湖,南京
92,326,G9503,747,851,合肥,安庆
92,327,G9504,871,973,安庆,合肥
92,328,G9505,1005,1118,合肥,安庆
92,329,G9506,1138,1233,安庆,合肥
93,306,D5659,803,908,合肥,安庆
93,307,D5660,936,1041,安庆,合肥
93,286,D5662,1082,1187,合肥,安庆
93,287,D5665,1225,1331,安庆,合肥
94,302,DJ8697,300,390,南京,安庆
94,303,D5652,411,522,安庆,合肥
94,304,D5655,542,647,合肥,安庆
94,292,D5604,688,808,安庆,南京
95,298,D5603,715,841,南京,安庆
95,299,D5606,860,992,安庆,南京
95,25,G7021,1020,1121,南京,上海
95,27,G7026,1140,1240,上海,南京
96,296,D5653,438,544,合肥,安庆
96,297,D5602,577,697,安庆,南京
96,298,D5603,715,841,南京,安庆
96,327,G9504,871,973,安庆,合肥
97,289,D5641,420,463,南京,芜湖
97,290,D5642,482,525,芜湖,南京
97,268,D5512/3,555,698,南京,南通
97,269,D5524/1,714,862,南通,南京
98,288,DJ8698,312,402,合肥,南京
98,289,D5641,420,463,南京,芜湖
98,83,G7150/47,498,664,芜湖,上海
98,144,G7264/5,677,852,上海,合肥
99,282,D5651,411,517,合肥,安庆
99,283,D5654,537,648,安庆,合肥
99,284,D5657,680,785,合肥,安庆
99,285,D5658,811,916,安庆,合肥
100,272,D5562/3,331,380,南京,扬州
100,273,D5564/1,405,457,扬州,南京
100,274,D5506/7,480,635,南京,南通
100,275,D5518/5,655,807,南通,南京
101,266,D5522/3,800,952,南京,南通
101,267,D5534/1,972,1121,南通,南京
101,340,D9519,1135,1178,南京,芜湖
101,341,D9520,1200,1237,芜湖,南京
102,242,G7461,664,884,上海,温州南
102,243,G7464,904,1047,温州南,杭州
102,210,G7312,1080,1140,杭州,上海
103,234,G7417/2,785,893,合肥,黄山北
103,192,G7418,933,1034,黄山北,合肥
103,308,D5663,1064,1175,合肥,安庆
103,309,D5664,1195,1300,安庆,合肥
104,232,G7413,470,571,合肥,黄山北
104,233,G7414,593,701,黄山北,合肥
104,326,G9503,747,851,合肥,安庆
104,327,G9504,871,973,安庆,合肥
105,223,G7507,496,728,南京,宁波
105,224,G7512,748,872,宁波,上海
105,133,G7100,885,1011,上海,南京
106,222,DJ7698,306,374,上海,南京
106,49,G7037,400,538,南京,上海
106,50,G7202,557,610,上海,无锡
106,51,G7201,630,691,无锡,上海
107,218,DJ7725,287,333,上海,杭州
107,261,G7556,408,483,杭州,上海
107,42,G7206,505,546,上海,苏州
107,43,G7205,564,603,苏州,上海
108,218,DJ7725,287,333,上海,杭州
108,202,G7327,381,406,杭州,诸暨
108,203,G7328,423,448,诸暨,杭州
108,196,G7302,478,543,杭州,上海
109,218,DJ7725,287,333,上海,杭州
109,184,G7358,370,456,杭州,上海
109,259,G7549,490,622,上海,宁波
109,174,G7510,684,807,宁波,上海
110,218,DJ7725,287,333,上海,杭州
110,219,G7361,350,444,杭州,江山
110,220,G7364,459,636,江山,上海
111,213,G7379,667,779,杭州,丽水
111,214,G7380,799,916,丽水,杭州
111,187,G7360,937,1041,杭州,上海
111,188,G7359,1074,1171,上海,杭州
112,198,G7317/20,694,837,上海,宜兴
112,199,G7319/8,863,1019,宜兴,上海
112,76,G7208,1041,1075,上海,苏州
112,77,G7207,1106,1147,苏州,上海
113,195,G7301,395,460,上海,杭州
113,196,G7302,478,543,杭州,上海
113,98,G7042,605,726,上海,南京
113,99,G7053,790,915,南京,上海
114,191,G7417,785,893,合肥,黄山北
114,235,G7418/2,933,1034,黄山北,合肥
114,308,D5663,1064,1175,合肥,安庆
114,241,G7428,1219,1315,安庆,合肥
115,180,G7308,892,951,杭州,上海
115,181,G7365,967,1105,上海,江山
115,182,G7366,1126,1270,江山,上海
115,183,G7315,1290,1348,上海,杭州
116,179,G7305,810,876,上海,杭州
116,215,G7567,937,1093,杭州,温州南
116,216,G7340,1114,1324,温州南,上海
117,178,G7304,690,759,杭州,上海
117,179,G7305,810,876,上海,杭州
117,180,G7308,892,951,杭州,上海
117,46,G7054,980,1100,上海,南京
117,158,G7603,1130,1218,南京,杭州
118,173,G7505,433,650,南京,宁波
118,174,G7510,684,807,宁波,上海
118,22,G7016,840,941,上海,南京
119,168,G7609,833,980,南京,宁波
119,226,G7522,1035,1166,宁波,上海
119,206,G7126,1230,1353,上海,南京
120,167,G7604,730,811,杭州,南京
120,293,D5605,828,954,南京,安庆
120,294,D5608,974,1094,安庆,南京
120,158,G7603,1130,1218,南京,杭州
121,166,DJ7699,310,378,南京,上海
121,15,G7002,420,525,上海,南京
121,291,D5601,545,665,南京,安庆
121,292,D5604,688,808,安庆,南京
122,152,G7369,389,472,杭州,丽水
122,153,G7632/3,488,737,丽水,合肥
122,154,G7634/1,759,911,合肥,杭州
123,149,G7613,982,1075,南京,杭州
123,201,G7314,1142,1203,杭州,上海
123,36,G7068,1219,1341,上海,南京
124,116,G7043,491,618,南京,上海
124,44,G7044,646,764,上海,南京
124,21,G7013,780,879,南京,上海
124,23,G7018,900,1005,上海,南京
125,110,G7029,336,450,南京,上海
125,2,G7004,480,579,上海,南京
125,4,G7007,600,700,南京,上海
125,31,G7048,745,874,上海,南京
126,103,G7127,800,936,南京,上海
126,104,G7152/3,952,1124,上海,芜湖
126,341,D9520,1200,1237,芜湖,南京
127,95,G7107,550,678,南京,上海
127,6,G7012,720,819,上海,南京
127,8,G7015,840,940,南京,上海
127,10,G7020,960,1059,上海,南京
128,74,G7046,740,852,上海,南京
128,75,G7057,867,988,南京,上海
128,11,G7022,1020,1121,上海,南京
128,13,G7025,1140,1239,南京,上海
129,72,G7032,353,474,上海,南京
129,330,D9509,495,541,南京,芜湖
129,331,D9510,562,599,芜湖,南京
129,107,G7111,629,748,南京,上海
130,69,G7061,947,1070,南京,上海
130,54,G7204,1132,1188,上海,无锡
130,55,G7203,1212,1273,无锡,上海
130,102,G7096,1310,1410,上海,南京
131,65,G7101,371,500,南京,上海
131,3,G7006,540,639,上海,南京
131,5,G7009,660,759,南京,上海
131,7,G7014,780,879,上海,南京
132,45,G7055,834,951,南京,上海
132,209,G7309,982,1063,上海,杭州
132,318,G9313,1085,1160,杭州,衢州
132,319,G9314,1182,1269,衢州,杭州
132,263,G7612,1282,1363,杭州,南京
133,39,G7049,700,823,南京,上海
133,175,G7515,840,955,上海,宁波
133,176,G7520,976,1240,宁波,南京
134,34,DJ7716,305,408,上海,南京
134,159,G7643,424,653,南京,丽水
134,160,G7348,679,844,丽水,上海
135,30,G7047,609,727,南京,上海
135,96,G7148/9,815,982,上海,芜湖
135,339,D9518,1060,1103,芜湖,南京
136,29,G7034,414,559,上海,南京
136,332,D9511,620,663,南京,芜湖
136,333,D9512,683,726,芜湖,南京
136,135,G7229,779,902,南京,上海
137,21,G7013,780,879,南京,上海
137,225,G7517,896,1011,上海,宁波
137,260,G7550,1060,1170,宁波,上海
137,14,G7028,1200,1299,上海,南京
138,20,G7011,720,819,南京,上海
138,161,G7347,870,980,上海,金华南
138,162,G7644,1013,1161,金华南,南京
139,17,G7005,540,639,南京,上海
139,19,G7010,660,759,上海,南京
139,278,D5516/7,773,912,南京,南通
139,279,D5528/5,936,1073,南通,南京
140,16,G7003,480,579,南京,上海
140,18,G7008,600,699,上海,南京
140,61,G7051,729,853,南京,上海
140,62,G7050,870,990,上海,南京
141,1,G7001,420,520,南京,上海
141,66,G7104,534,650,上海,南京
141,67,G7113,665,771,南京,上海
141,68,G7112,793,916,上海,南京
