交路编号,编号,车次,出发时刻,到达时刻,出发车站,到达车站
1,145,G7266/3,872,1046,合肥,上海
1,323,G9406/7,1089,1276,上海,合肥
2,114,G7232/3,495,725,上海,六安
2,115,G7234/1,744,970,六安,上海
3,238,G7419,990,1111,合肥,黄山北
3,239,G7420,1140,1248,黄山北,合肥
4,264,D5502/3,420,573,南京,南通
4,265,D5514/1,600,764,南通,南京
5,298,D5603,715,841,南京,安庆
5,299,D5606,860,992,安庆,南京
6,270,D5532/3,949,1110,南京,南通
6,271,D5544/1,1168,1320,南通,南京
7,12,G7023,1080,1179,南京,上海
7,206,G7126,1230,1353,上海,南京
8,114,G7232/3,495,725,上海,六安
8,236,G7198/5/2,793,1032,六安,上海
9,91,G7123,1114,1230,南京,上海
9,58,G7030,1260,1379,上海,南京
10,342,D9522/3,600,774,南京,南通
10,343,D9524/1,853,1014,南通,南京
11,211,DJ7731,291,445,杭州,温州南
11,212,G7568,480,637,温州南,杭州
12,28,DJ7715,301,388,南京,上海
12,230,G7395/8,447,660,上海,南京
13,47,G7097,1120,1244,南京,上海
13,48,G7098,1265,1378,上海,南京
14,73,G7045,569,696,南京,上海
14,74,G7046,740,852,上海,南京
15,320,G9402/3,831,1027,上海,合肥
15,321,G9404/1,1066,1236,合肥,上海
16,322,G9408/5,913,1064,合肥,上海
16,140,G7156/7,1106,1330,上海,合肥
17,129,G7080/1,464,712,上海,安庆
17,130,G7138/5,743,982,安庆,上海
18,40,G7276/7/6,852,1079,上海,淮南东
18,41,G7275/8/5,1128,1318,淮南东,上海
19,217,G7341,360,549,杭州,苍南
19,172,G7624,593,769,苍南,杭州
20,276,D5526/7,842,1005,南京,南通
20,277,D5538/5,1055,1210,南通,南京
21,82,G7063,975,1100,南京,上海
21,64,G7124,1169,1288,上海,南京
22,127,G7088/9,774,1014,上海,安庆
22,128,G7090/87,1034,1268,安庆,上海
23,118,G7238/5,840,1031,合肥,上海
23,119,G7256/7,1053,1242,上海,合肥
24,121,G7240/1,654,883,上海,六安
24,122,G7242/39,925,1151,六安,上海
25,253,G9311,1128,1266,上海,衢州
25,317,G9312/2,1286,1407,衢州,上海
26,246,G7467,578,766,杭州,苍南
26,247,G7468,787,983,苍南,杭州
27,120,G7228/5,480,612,合肥,上海
27,144,G7264/5,677,852,上海,合肥
28,248,G7465,1029,1172,杭州,温州南
28,245,G7466,1233,1370,温州南,杭州
29,244,G7463,1069,1217,杭州,温州南
29,245,G7466,1233,1370,温州南,杭州
30,24,G7019,960,1060,南京,上海
30,229,G7391/4,1098,1304,上海,南京
31,92,G7084/5,517,758,上海,安庆
31,93,G7142/39,796,1038,安庆,上海
32,35,G7103,439,565,南京,上海
32,44,G7044,646,764,上海,南京
33,163,G7248/9,794,979,上海,合肥
33,164,G7250/47,997,1190,合肥,上海
34,57,G7065,1092,1220,南京,上海
34,165,G7070,1240,1360,上海,南京
35,131,G7092/3,828,1073,上海,安庆
35,132,G7094/1,1128,1368,安庆,上海
36,72,G7032,353,474,上海,南京
36,87,G7105,518,644,南京,上海
37,138,G7132/3,581,813,上海,安庆
37,139,G7146/3,832,1073,安庆,上海
38,316,G9311/2,1128,1266,上海,衢州
38,254,G9312,1286,1407,衢州,上海
