ID,NodeType,OStation,LineID,TrainCode,Station,TimeCode,SuperPointID,SuperPointType,PrevNodeID,DriveTime,DayCrewTime,Lunch,Dinner,PassLines,PassStateNodes
0,0,A,-1,,A,0,9,4,-1,0,0,0,0,[Empty],[0]
2,0,B,-1,,B,0,11,4,-1,0,0,0,0,[Empty],[2]
4,31,B,0,Train_3,B,630,5,1,2,0,0,0,0,[Empty],[2-4]
5,1,B,3,Train_3,C,700,6,2,4,0,0,0,0,[3],[2-4-5]
6,21,B,0,,C,760,7,1,5,0,0,0,0,[3],[2-4-5-6]
7,1,B,4,Train_4,B,830,8,2,6,0,0,0,0,[3-4],[2-4-5-6-7]
1,33,A,0,,A,1440,10,4,0,0,0,0,0,[Empty],[0-1]
3,33,B,0,,B,1440,12,4,2,0,0,0,0,[Empty],[2-3]
3,32,B,0,Train_4,B,830,1440,4,7,0,0,0,0,[3-4],[2-4-5-6-7-3]
