交路编号,编号,车次,出发时刻,到达时刻,出发车站,到达车站
1,96,G7148/9,815,982,上海,芜湖
1,97,G7288/5,1017,1207,芜湖,上海
2,312,G9236/7,864,1080,上海,池州
2,313,G9238/5,1110,1345,池州,上海
3,59,G7039,434,554,南京,上海
3,197,G7180,615,698,上海,南京
4,131,G7092/3,828,1073,上海,安庆
4,132,G7094/1,1128,1368,安庆,上海
5,145,G7266/3,872,1046,合肥,上海
5,323,G9406/7,1089,1276,上海,合肥
6,316,G9311/2,1128,1266,上海,衢州
6,254,G9312,1286,1407,衢州,上海
7,322,G9408/5,913,1064,合肥,上海
7,140,G7156/7,1106,1330,上海,合肥
8,324,G9501,490,599,合肥,安庆
8,305,D5656,676,781,安庆,合肥
9,136,G7218/9,929,1073,上海,芜湖
9,105,G7220/17,1158,1324,芜湖,上海
10,238,G7419,990,1111,合肥,黄山北
10,239,G7420,1140,1248,黄山北,合肥
11,126,G7140/1,904,1150,上海,安庆
11,315,G9248/5,1182,1404,安庆,上海
12,270,D5532/3,949,1110,南京,南通
12,271,D5544/1,1168,1320,南通,南京
13,257,G7519,952,1075,上海,宁波
13,258,G7524,1094,1217,宁波,上海
14,264,D5502/3,420,573,南京,南通
14,265,D5514/1,600,764,南通,南京
15,118,G7238/5,840,1031,合肥,上海
15,119,G7256/7,1053,1242,上海,合肥
16,65,G7101,371,500,南京,上海
16,3,G7006,540,639,上海,南京
17,157,G7345,780,942,杭州,苍南
17,262,G7538,1004,1223,苍南,杭州
18,276,D5526/7,842,1005,南京,南通
18,277,D5538/5,1055,1210,南通,南京
19,168,G7609,833,980,南京,宁波
19,112,G7584,1013,1281,宁波,南京
20,103,G7127,800,936,南京,上海
20,123,G7064,975,1100,上海,南京
21,223,G7507,496,728,南京,宁波
21,148,G7608,778,947,宁波,南京
22,211,DJ7731,291,445,杭州,温州南
22,212,G7568,480,637,温州南,杭州
23,114,G7232/3,495,725,上海,六安
23,115,G7234/1,744,970,六安,上海
24,253,G9311,1128,1266,上海,衢州
24,317,G9312/2,1286,1407,衢州,上海
25,114,G7232/3,495,725,上海,六安
25,193,G7198/5,793,1032,六安,上海
26,113,G7031,354,474,南京,上海
26,106,G7036,490,614,上海,南京
27,73,G7045,569,696,南京,上海
27,31,G7048,745,874,上海,南京
28,146,G7282/3,693,854,上海,芜湖
28,147,G7284/1,938,1083,芜湖,上海
29,185,G7354,604,756,杭州,常州
29,186,G7353,771,914,常州,杭州
30,12,G7023,1080,1179,南京,上海
30,111,G7066,1208,1329,上海,南京
31,249,G7503,484,666,上海,台州
31,250,G7542,712,916,台州,上海
32,35,G7103,439,565,南京,上海
32,60,G7040,594,712,上海,南京
33,300,D5607,1010,1136,南京,安庆
33,301,D5610,1156,1270,安庆,南京
34,57,G7065,1092,1220,南京,上海
34,165,G7070,1240,1360,上海,南京
35,47,G7097,1120,1244,南京,上海
35,58,G7030,1260,1379,上海,南京
36,127,G7088/9,774,1014,上海,安庆
36,128,G7090/87,1034,1268,安庆,上海
37,94,G7120,1089,1209,上海,南京
37,71,G7069,1241,1360,南京,上海
38,207,G7543,427,665,上海,温州南
38,171,G7334,690,908,温州南,上海
39,100,G7252/3,944,1077,上海,合肥
39,101,G7254/1,1103,1288,合肥,上海
40,200,G7311,1047,1119,上海,杭州
40,189,G7352,1200,1291,杭州,上海
41,251,G7541,361,550,上海,台州
41,252,G7508,565,747,台州,上海
42,320,G9402/3,831,1027,上海,合肥
42,321,G9404/1,1066,1236,合肥,上海
43,109,G7119,983,1105,南京,上海
43,64,G7124,1169,1288,上海,南京
44,138,G7132/3,581,813,上海,安庆
44,139,G7146/3,832,1073,安庆,上海
45,227,G7558,426,492,杭州,上海
45,177,G7351,578,667,上海,杭州
46,79,G7102,440,565,上海,南京
46,80,G7109,595,720,南京,上海
47,344,D9526/7,1037,1186,南京,南通
47,345,D9528/5,1209,1357,南通,南京
48,221,G7566/3,826,1086,合肥,杭州
48,150,G7652/3,1121,1271,杭州,合肥
49,24,G7019,960,1060,南京,上海
49,70,G7058,1093,1220,上海,南京
50,296,D5653,438,544,合肥,安庆
50,325,G9502,622,725,安庆,合肥
51,121,G7240/1,654,883,上海,六安
51,122,G7242/39,925,1151,六安,上海
52,280,D5536/7,1093,1241,南京,南通
52,281,D5548/5,1261,1408,南通,南京
53,118,G7238/5,840,1031,合肥,上海
53,237,G7196/7/2,1074,1225,上海,合肥
54,118,G7238/5,840,1031,合肥,上海
54,194,G7196/7,1074,1225,上海,合肥
55,155,G7656/7,934,1108,杭州,合肥
55,151,G7658/5,1128,1302,合肥,杭州
56,240,G7427,1083,1193,合肥,安庆
56,295,D5666,1249,1348,安庆,合肥
57,28,DJ7715,301,388,南京,上海
57,230,G7395/8,447,660,上海,南京
58,40,G7276/7/6,852,1079,上海,淮南东
58,41,G7275/8/5,1128,1318,淮南东,上海
59,204,G7325,510,753,上海,温州南
59,205,G7326,783,985,温州南,上海
60,110,G7029,336,450,南京,上海
60,2,G7004,480,579,上海,南京
61,244,G7463,1069,1217,杭州,温州南
61,245,G7466,1233,1370,温州南,杭州
62,231,G7397/6,1094,1284,南京,上海
62,102,G7096,1310,1410,上海,南京
63,114,G7232/3,495,725,上海,六安
63,236,G7198/5/2,793,1032,六安,上海
64,124,G7072/3,348,611,上海,安庆
64,125,G7134/1,632,870,安庆,上海
65,141,G7164/5,787,965,上海,合肥
65,164,G7250/47,997,1190,合肥,上海
66,81,G7110,766,895,上海,南京
66,69,G7061,947,1070,南京,上海
67,56,G7052,939,1064,上海,南京
67,91,G7123,1114,1230,南京,上海
68,342,D9522/3,600,774,南京,南通
68,343,D9524/1,853,1014,南通,南京
69,120,G7228/5,480,612,合肥,上海
69,117,G7236/7,640,819,上海,合肥
70,52,G7244/5,713,886,上海,合肥
70,53,G7246/3,918,1111,合肥,上海
71,190,G7501,410,687,上海,苍南
71,156,G7322,728,944,苍南,上海
72,246,G7467,578,766,杭州,苍南
72,247,G7468,787,983,苍南,杭州
73,314,G9246/7,921,1163,上海,安庆
73,315,G9248/5,1182,1404,安庆,上海
74,92,G7084/5,517,758,上海,安庆
74,93,G7142/39,796,1038,安庆,上海
75,32,G7059,905,1019,南京,上海
75,26,G7024,1080,1185,上海,南京
76,169,G7649,927,1105,南京,衢州
76,170,G7650,1128,1310,衢州,南京
77,255,G7509,658,773,上海,宁波
77,256,G7514,794,920,宁波,上海
78,37,G7035,391,515,南京,上海
78,38,G7038,545,668,上海,南京
79,310,G9232/3,385,597,上海,铜陵
79,311,G9234/1,615,800,铜陵,上海
80,163,G7248/9,794,979,上海,合肥
80,142,G7166/3,1038,1225,合肥,上海
81,129,G7080/1,464,712,上海,安庆
81,130,G7138/5,743,982,安庆,上海
82,207,G7543,427,665,上海,温州南
82,208,G7546,680,930,温州南,上海
83,90,G7116,974,1095,上海,南京
83,134,G7099,1125,1257,南京,上海
84,228,G7393/2,454,661,南京,上海
84,84,G7108,700,824,上海,南京
85,217,G7341,360,549,杭州,苍南
85,172,G7624,593,769,苍南,杭州
86,87,G7105,518,644,南京,上海
86,88,G7106,665,778,上海,南京
87,248,G7465,1029,1172,杭州,温州南
87,245,G7466,1233,1370,温州南,杭州
88,24,G7019,960,1060,南京,上海
88,229,G7391/4,1098,1304,上海,南京
