交路编号,编号,车次,出发时刻,到达时刻,出发车站,到达车站
77,114,G7232/3,495,725,上海,六安
77,115,G7234/1,744,970,六安,上海
78,118,G7238/5,840,1031,合肥,上海
78,237,G7196/7/2,1074,1225,上海,合肥
79,118,G7238/5,840,1031,合肥,上海
79,194,G7196/7,1074,1225,上海,合肥
80,79,G7102,440,565,上海,南京
80,80,G7109,595,720,南京,上海
81,204,G7325,510,753,上海,温州南
81,205,G7326,783,985,温州南,上海
82,94,G7120,1089,1209,上海,南京
82,71,G7069,1241,1360,南京,上海
83,200,G7311,1047,1119,上海,杭州
83,189,G7352,1200,1291,杭州,上海
84,35,G7103,439,565,南京,上海
84,197,G7180,615,698,上海,南京
85,312,G9236/7,864,1080,上海,池州
85,313,G9238/5,1110,1345,池州,上海
86,146,G7282/3,693,854,上海,芜湖
86,147,G7284/1,938,1083,芜湖,上海
87,264,D5502/3,420,573,南京,南通
87,265,D5514/1,600,764,南通,南京
88,276,D5526/7,842,1005,南京,南通
88,277,D5538/5,1055,1210,南通,南京
89,1,G7001,420,520,南京,上海
89,66,G7104,534,650,上海,南京
89,67,G7113,665,771,南京,上海
89,22,G7016,840,941,上海,南京
90,7,G7014,780,879,上海,南京
90,9,G7017,900,1000,南京,上海
90,11,G7022,1020,1121,上海,南京
90,13,G7025,1140,1239,南京,上海
91,16,G7003,480,579,南京,上海
91,18,G7008,600,699,上海,南京
91,61,G7051,729,853,南京,上海
91,62,G7050,870,990,上海,南京
92,17,G7005,540,639,南京,上海
92,19,G7010,660,759,上海,南京
92,278,D5516/7,773,912,南京,南通
92,279,D5528/5,936,1073,南通,南京
93,20,G7011,720,819,南京,上海
93,161,G7347,870,980,上海,金华南
93,162,G7644,1013,1161,金华南,南京
94,21,G7013,780,879,南京,上海
94,225,G7517,896,1011,上海,宁波
94,260,G7550,1060,1170,宁波,上海
94,14,G7028,1200,1299,上海,南京
95,28,DJ7715,301,388,南京,上海
95,15,G7002,420,525,上海,南京
95,291,D5601,545,665,南京,安庆
95,292,D5604,688,808,安庆,南京
96,34,DJ7716,305,408,上海,南京
96,159,G7643,424,653,南京,丽水
96,160,G7348,679,844,丽水,上海
97,37,G7035,391,515,南京,上海
97,3,G7006,540,639,上海,南京
97,5,G7009,660,759,南京,上海
97,68,G7112,793,916,上海,南京
98,39,G7049,700,823,南京,上海
98,175,G7515,840,955,上海,宁波
98,176,G7520,976,1240,宁波,南京
99,45,G7055,834,951,南京,上海
99,209,G7309,982,1063,上海,杭州
99,318,G9313,1085,1160,杭州,衢州
99,319,G9314,1182,1269,衢州,杭州
99,263,G7612,1282,1363,杭州,南京
100,72,G7032,353,474,上海,南京
100,330,D9509,495,541,南京,芜湖
100,331,D9510,562,599,芜湖,南京
100,107,G7111,629,748,南京,上海
101,73,G7045,569,696,南京,上海
101,74,G7046,740,852,上海,南京
101,336,D9515,868,905,南京,芜湖
101,337,D9516,925,962,芜湖,南京
101,338,D9517,995,1038,南京,芜湖
101,339,D9518,1060,1103,芜湖,南京
102,81,G7110,766,895,上海,南京
102,69,G7061,947,1070,南京,上海
102,54,G7204,1132,1188,上海,无锡
102,55,G7203,1212,1273,无锡,上海
103,95,G7107,550,678,南京,上海
103,6,G7012,720,819,上海,南京
103,8,G7015,840,940,南京,上海
103,10,G7020,960,1059,上海,南京
104,110,G7029,336,450,南京,上海
104,2,G7004,480,579,上海,南京
104,4,G7007,600,700,南京,上海
104,31,G7048,745,874,上海,南京
105,116,G7043,491,618,南京,上海
105,44,G7044,646,764,上海,南京
105,21,G7013,780,879,南京,上海
105,23,G7018,900,1005,上海,南京
106,149,G7613,982,1075,南京,杭州
106,201,G7314,1142,1203,杭州,上海
106,206,G7126,1230,1353,上海,南京
107,152,G7369,389,472,杭州,丽水
107,153,G7632/3,488,737,丽水,合肥
107,154,G7634/1,759,911,合肥,杭州
108,167,G7604,730,811,杭州,南京
108,293,D5605,828,954,南京,安庆
108,294,D5608,974,1094,安庆,南京
108,158,G7603,1130,1218,南京,杭州
109,168,G7609,833,980,南京,宁波
109,226,G7522,1035,1166,宁波,上海
109,36,G7068,1219,1341,上海,南京
110,173,G7505,433,650,南京,宁波
110,174,G7510,684,807,宁波,上海
110,108,G7114,847,967,上海,南京
111,179,G7305,810,876,上海,杭州
111,215,G7567,937,1093,杭州,温州南
111,216,G7340,1114,1324,温州南,上海
112,180,G7308,892,951,杭州,上海
112,181,G7365,967,1105,上海,江山
112,182,G7366,1126,1270,江山,上海
112,183,G7315,1290,1348,上海,杭州
113,191,G7417,785,893,合肥,黄山北
