CurLB_with,CurLB_without,CurUB_with
240000,240000
93004,89004
211878,185878
312423.333333333,288423.333333333
346795.333333333,331795.333333333
356488.666666667,340488.666666667
356992.333333333,343992.333333333
360713.571428572,343713.571428572
365477.095238095,347477.095238095
364886.142857143,346886.142857143
365038.198412698,349038.198412698
369567.492063492,350567.492063492
371956.851370851,354956.851370851
374142.143523144,353142.143523144
374270.044788545,353270.044788545
373880.276889777,353880.276889777
376145.218142968,356145.218142968
377167.730907981,359167.730907981
378147.540903541,355147.540903541
378662.782742198,362662.782742198
379267.423227272,358267.423227272
379712.337122888,363712.337122888
380965.030735862,357965.030735862
379952.929121674,360952.929121674
380127.426405033,351127.426405033
380848.250062568,361848.250062568
381443.160894228,356443.160894228
381420.327632627,365420.327632627
382019.203491067,359019.203491067
382344.509256305,362344.509256305
382609.888671755,354609.888671755
382190.359219826,364190.359219826
381891.192665571,360891.192665571
382432.748803526,359432.748803526
382202.189313717,356202.189313717
382295.524417377,360295.524417377
382052.535812629,359052.535812629
382598.058999582,361598.058999582
383078.406954126,359078.406954126
383252.103454405,359252.103454405
382768.72701247,358768.72701247
382908.887378774,363908.887378774
383289.747456995,358289.747456995
383509.715114078,362509.715114078
383900.663168623,355900.663168623
384237.58492853,360237.58492853
384092.355731004,363092.355731004
384165.978762026,360165.978762026
384299.17933902,361299.17933902
384377.235842241,358377.235842241
384180.470239437,362180.470239437
384266.194457317,358266.194457317
384251.895304638,361251.895304638
384136.834711996,362136.834711996
384228.329762676,359228.329762676
384264.567265115,363264.567265115
384432.195666399,357432.195666399
384672.652011766,362672.652011766
384716.667892342,363716.667892342
384787.999778976,360787.999778976
384133.207916649,357133.207916649
